qas_id,review,question,human_ans_spans,human_ans_indices
q72,"Marina beach is nearly 12 kilometers- it extends from Beasant Nagar in the south to Fort St. George in the north. Marina beach is easily accessible by buses, taxis, two and three wheelers.In the evening this beach becomes a fair ground with numerous stalls selling artifacts, handcrafted showpieces, ethnic jewelry, and food items.Going into the sea should be done under expert guidance as the undercurrent is strong.",how long is marina beach?,nearly 12 kilometers,"(16, 36)"
q73,"Marina beach is nearly 12 kilometers- it extends from Beasant Nagar in the south to Fort St. George in the north. Marina beach is easily accessible by buses, taxis, two and three wheelers.In the evening this beach becomes a fair ground with numerous stalls selling artifacts, handcrafted showpieces, ethnic jewelry, and food items.Going into the sea should be done under expert guidance as the undercurrent is strong.",how to reach marina beach?,"by buses, taxis, two and three wheelers","(148, 187)"
q74,"Marina beach is nearly 12 kilometers- it extends from Beasant Nagar in the south to Fort St. George in the north. Marina beach is easily accessible by buses, taxis, two and three wheelers.In the evening this beach becomes a fair ground with numerous stalls selling artifacts, handcrafted showpieces, ethnic jewelry, and food items.Going into the sea should be done under expert guidance as the undercurrent is strong.",what can I buy at marina beach?,"handcrafted showpieces, ethnic jewelry, and food items","(276, 330)"
q75,"Marina beach is nearly 12 kilometers- it extends from Beasant Nagar in the south to Fort St. George in the north. Marina beach is easily accessible by buses, taxis, two and three wheelers.In the evening this beach becomes a fair ground with numerous stalls selling artifacts, handcrafted showpieces, ethnic jewelry, and food items.Going into the sea should be done under expert guidance as the undercurrent is strong.",is marina beach dangerous?,undercurrent is strong,"(294, 416)"
q76,"Flying kites and pony riding are popular activities on the Marina beach. The aquarium and the Ice House are the main attractions on the Marina beach.Victory of Labor and Mahatma Gandhi are two prominent statues on the Marina beach. The Chepauk Palace, Senate House, PWD office, Presidency College, and the Chennai University are historical buildings located on the beach drive.",Name some popular activities at marina beach?,Flying kites and pony riding,"(0, 28)"
q77,"Flying kites and pony riding are popular activities on the Marina beach. The aquarium and the Ice House are the main attractions on the Marina beach.Victory of Labor and Mahatma Gandhi are two prominent statues on the Marina beach. The Chepauk Palace, Senate House, PWD office, Presidency College, and the Chennai University are historical buildings located on the beach drive.",Name a few attractions near marina beach?,The aquarium and the Ice House,"(73, 103)"
q79,"Flying kites and pony riding are popular activities on the Marina beach. The aquarium and the Ice House are the main attractions on the Marina beach.Victory of Labor and Mahatma Gandhi are two prominent statues on the Marina beach. The Chepauk Palace, Senate House, PWD office, Presidency College, and the Chennai University are historical buildings located on the beach drive.",name a few historical buildings located on the marina beach drive?,"The Chepauk Palace, Senate House","(232, 264)"
q80,"Covelong Beach is actually Kovalam beach that is located on the coast of the Bay of Bengal near a village named Covelong, Chennai, India. The British, unable to pronounce the name ""Kovalam"", conveniently named it Covelong. This is a fishing village 40 km from Chennai. Kovalam Beach is on the way to Mahabalipuram near the East Coast Road (popularly ECR). Kovalam Beach is one of the finest and beautiful beaches by nature. ",what is covelong beach also called as?,Kovalam beach,"(27, 40)"
q81,"Covelong Beach is actually Kovalam beach that is located on the coast of the Bay of Bengal near a village named Covelong, Chennai, India. The British, unable to pronounce the name ""Kovalam"", conveniently named it Covelong. This is a fishing village 40 km from Chennai. Kovalam Beach is on the way to Mahabalipuram near the East Coast Road (popularly ECR). Kovalam Beach is one of the finest and beautiful beaches by nature. ",where is kovalam beach?,40 km from Chennai,"(249, 267)"
q82,"As Kovalam beach is near Chennai and is located on the way to Mahabalipuram, it is visited by thousands of people each day. Mostly the local crowd is higher in the beach. Fishing is the main occupation of the people here. Though the beach is famous, it is littered by tourists and the local people alike. Along with the beach, the village of Covelong, famous for its fishing activities draws many tourists. It is India's first surfing village. There are surfing schools here.",how many people visit kovalam each day?,thousands of people,"(94, 113)"
q85,"As Kovalam beach is near Chennai and is located on the way to Mahabalipuram, it is visited by thousands of people each day. Mostly the local crowd is higher in the beach. Fishing is the main occupation of the people here. Though the beach is famous, it is littered by tourists and the local people alike. Along with the beach, the village of Covelong, famous for its fishing activities draws many tourists. It is India's first surfing village. There are surfing schools here.",Name India's first surfing village?,the village of Covelong,"(327, 350)"
q86,"As Kovalam beach is near Chennai and is located on the way to Mahabalipuram, it is visited by thousands of people each day. Mostly the local crowd is higher in the beach. Fishing is the main occupation of the people here. Though the beach is famous, it is littered by tourists and the local people alike. Along with the beach, the village of Covelong, famous for its fishing activities draws many tourists. It is India's first surfing village. There are surfing schools here.",what activities can you do at kovalam beach?,surfing,"(454, 461)"
q87,"Edward Elliot's Beach, simply called as Elliot's Beach and popularly known as Besant Nagar Beach, is a natural urban beach located in the Besant Nagar neighbourhood of Chennai, Tamil Nadu, India. It was named after Edward Elliot, a chief magistrate of the Madras Presidency in colonial India. A prominent landmark on this beach is the Karl Schmidt Memorial. Elliot's Beach is one of the cleanest and safest beaches in the city of Chennai. It has Ashtalakshmi Temple and Annai Vailankanni church nearby.",What is the Edward Elliot's beach also called as?,Besant Nagar Beach,"(78, 96)"
q88,"Edward Elliot's Beach, simply called as Elliot's Beach and popularly known as Besant Nagar Beach, is a natural urban beach located in the Besant Nagar neighbourhood of Chennai, Tamil Nadu, India. It was named after Edward Elliot, a chief magistrate of the Madras Presidency in colonial India. A prominent landmark on this beach is the Karl Schmidt Memorial. Elliot's Beach is one of the cleanest and safest beaches in the city of Chennai. It has Ashtalakshmi Temple and Annai Vailankanni church nearby.",who is elliot's beach named after?,"Edward Elliot, a chief magistrate of the Madras Presidency","(215, 273)"
q90,"Edward Elliot's Beach, simply called as Elliot's Beach and popularly known as Besant Nagar Beach, is a natural urban beach located in the Besant Nagar neighbourhood of Chennai, Tamil Nadu, India. It was named after Edward Elliot, a chief magistrate of the Madras Presidency in colonial India. A prominent landmark on this beach is the Karl Schmidt Memorial. Elliot's Beach is one of the cleanest and safest beaches in the city of Chennai. It has Ashtalakshmi Temple and Annai Vailankanni church nearby.",Is elliots beach clean?,Elliot's Beach is one of the cleanest and safest beaches in the city,"(358, 426)"
q91,"Edward Elliot's Beach, simply called as Elliot's Beach and popularly known as Besant Nagar Beach, is a natural urban beach located in the Besant Nagar neighbourhood of Chennai, Tamil Nadu, India. It was named after Edward Elliot, a chief magistrate of the Madras Presidency in colonial India. A prominent landmark on this beach is the Karl Schmidt Memorial. Elliot's Beach is one of the cleanest and safest beaches in the city of Chennai. It has Ashtalakshmi Temple and Annai Vailankanni church nearby.",Name a few attractions near elliot's beach?,Ashtalakshmi Temple and Annai Vailankanni church,"(446, 494)"
q92,"Edward Elliot's Beach, simply called as Elliot's Beach and popularly known as Besant Nagar Beach, is a natural urban beach located in the Besant Nagar neighbourhood of Chennai, Tamil Nadu, India. It was named after Edward Elliot, a chief magistrate of the Madras Presidency in colonial India. A prominent landmark on this beach is the Karl Schmidt Memorial. Elliot's Beach is one of the cleanest and safest beaches in the city of Chennai. It has Ashtalakshmi Temple and Annai Vailankanni church nearby.",where is elliot's beach?,Besant Nagar neighbourhood of Chennai,"(138, 175"
q93,"Escape the city buzz and bask in the serenity of Blue Flag Beach, Muttukadu. This eco-friendly paradise, boasting the prestigious Blue Flag certification, guarantees clean waters, pristine sands, and a commitment to sustainable practices. Relax on the soft shores, take a refreshing dip in the azure waters, or try your hand at water sports like kayaking or jet skiing.",Where is blue flag beach?,Muttukadu,"(66, 75)"
q94,"Escape the city buzz and bask in the serenity of Blue Flag Beach, Muttukadu. This eco-friendly paradise, boasting the prestigious Blue Flag certification, guarantees clean waters, pristine sands, and a commitment to sustainable practices. Relax on the soft shores, take a refreshing dip in the azure waters, or try your hand at water sports like kayaking or jet skiing.",is muttukadu beach clean?,guarantees clean waters,"(155, 178)"
q95,"Escape the city buzz and bask in the serenity of Blue Flag Beach, Muttukadu. This eco-friendly paradise, boasting the prestigious Blue Flag certification, guarantees clean waters, pristine sands, and a commitment to sustainable practices. Relax on the soft shores, take a refreshing dip in the azure waters, or try your hand at water sports like kayaking or jet skiing.",what activities can you do at blue flag beach?,kayaking or jet skiing,"(346, 368)"
q96,"With its well-maintained facilities, including changing rooms and showers, Blue Flag Beach offers a tranquil escape for families and nature enthusiasts alike. Blue Flag Beach, Muttukadu, generally charges a nominal entry fee.  While specific costs can fluctuate, expect it to be around 10 (Indian Rupees) for adults and potentially free for children below the age of 3.  It's advisable to carry some cash for a seamless entry experience. The beach is typically open to the public from 6:00 AM to 7:00 PM.",Name some facilities available at blue flag beach?,changing rooms and showers,"(47, 73)"
q97,"With its well-maintained facilities, including changing rooms and showers, Blue Flag Beach offers a tranquil escape for families and nature enthusiasts alike. Blue Flag Beach, Muttukadu, generally charges a nominal entry fee.  While specific costs can fluctuate, expect it to be around 10 (Indian Rupees) for adults and potentially free for children below the age of 3.  It's advisable to carry some cash for a seamless entry experience. The beach is typically open to the public from 6:00 AM to 7:00 PM.",Entry fees for blue flag beach?,around 10 (Indian Rupees) for adults,"(279, 315)"
q98,"With its well-maintained facilities, including changing rooms and showers, Blue Flag Beach offers a tranquil escape for families and nature enthusiasts alike. Blue Flag Beach, Muttukadu, generally charges a nominal entry fee.  While specific costs can fluctuate, expect it to be around 10 (Indian Rupees) for adults and potentially free for children below the age of 3.  It's advisable to carry some cash for a seamless entry experience. The beach is typically open to the public from 6:00 AM to 7:00 PM.",what does blue flag beach offer?,tranquil escape for families and nature enthusiasts,"(100, 151)"
q99,"With its well-maintained facilities, including changing rooms and showers, Blue Flag Beach offers a tranquil escape for families and nature enthusiasts alike. Blue Flag Beach, Muttukadu, generally charges a nominal entry fee.  While specific costs can fluctuate, expect it to be around 10 (Indian Rupees) for adults and potentially free for children below the age of 3.  It's advisable to carry some cash for a seamless entry experience. The beach is typically open to the public from 6:00 AM to 7:00 PM.",give me advice for visiting blue flag beach?,carry some cash for a seamless entry experience,"(389, 436)"
q100,"With its well-maintained facilities, including changing rooms and showers, Blue Flag Beach offers a tranquil escape for families and nature enthusiasts alike. Blue Flag Beach, Muttukadu, generally charges a nominal entry fee.  While specific costs can fluctuate, expect it to be around 10 (Indian Rupees) for adults and potentially free for children below the age of 3.  It's advisable to carry some cash for a seamless entry experience. The beach is typically open to the public from 6:00 AM to 7:00 PM.",what are the timings when blue flag beach is open to public?,6:00 AM to 7:00 PM,"(485, 503)"
q101,"Take a break from the bustling city and head to the Muttukadu Boat House, a haven for aquatic adventures on the outskirts of Chennai. Operated by the Tamil Nadu Tourism Development Corporation, Muttukadu boathouse offers a range of Water sports to create unforgettable memories on the scenic Muttukadu backwaters. There are water scooters, speedboats, rowboats, pedal boats and spacious motorboats, ideal for enjoying the scenery together.",Where is muttukadu boathouse?,outskirts of Chennai,"(112, 132)"
q102,"Take a break from the bustling city and head to the Muttukadu Boat House, a haven for aquatic adventures on the outskirts of Chennai. Operated by the Tamil Nadu Tourism Development Corporation, Muttukadu boathouse offers a range of Water sports to create unforgettable memories on the scenic Muttukadu backwaters. There are water scooters, speedboats, rowboats, pedal boats and spacious motorboats, ideal for enjoying the scenery together.",What activities does muttukadu boathouse offer?,range of Water sports,"(223, 244)"
q103,"Take a break from the bustling city and head to the Muttukadu Boat House, a haven for aquatic adventures on the outskirts of Chennai. Operated by the Tamil Nadu Tourism Development Corporation, Muttukadu boathouse offers a range of Water sports to create unforgettable memories on the scenic Muttukadu backwaters. There are water scooters, speedboats, rowboats, pedal boats and spacious motorboats, ideal for enjoying the scenery together.",What kind of boats are available at muttukadu boathouse?,"water scooters, speedboats, rowboats, pedal boats and spacious motorboats","(324, 397)"
q104,"The amenities at the Muttukadu Boat House go beyond just boats. Convenient changing rooms, well-maintained parking area and a selfie booth are some amenities present in Muttukadu boathouse. Feeling peckish after your boating escapade? The on-site restaurant serves refreshments to keep you fueled. Additionally, the boathouse embraces digital payments for a hassle-free experience. With fares starting from Rs. 150 for a kid's pedal boat ride, the Muttukadu Boat House caters to all budgets.",Name some amenities present in muttukadu boathouse?,"Convenient changing rooms, well-maintained parking area and a selfie booth","(64, 138)"
q105,"The amenities at the Muttukadu Boat House go beyond just boats. Convenient changing rooms, well-maintained parking area and a selfie booth are some amenities present in Muttukadu boathouse. Feeling peckish after your boating escapade? The on-site restaurant serves refreshments to keep you fueled. Additionally, the boathouse embraces digital payments for a hassle-free experience. With fares starting from Rs. 150 for a kid's pedal boat ride, the Muttukadu Boat House caters to all budgets.",are there restaurants at muttukadu boathouse?,The on-site restaurant serves refreshments,"(235, 277)"
q106,"The amenities at the Muttukadu Boat House go beyond just boats. Convenient changing rooms, well-maintained parking area and a selfie booth are some amenities present in Muttukadu boathouse. Feeling peckish after your boating escapade? The on-site restaurant serves refreshments to keep you fueled. Additionally, the boathouse embraces digital payments for a hassle-free experience. With fares starting from Rs. 150 for a kid's pedal boat ride, the Muttukadu Boat House caters to all budgets.",Does the muttukadu boathouse accept digital payments?,the boathouse embraces digital payments,"(312, 351)"
q107,"The amenities at the Muttukadu Boat House go beyond just boats. Convenient changing rooms, well-maintained parking area and a selfie booth are some amenities present in Muttukadu boathouse. Feeling peckish after your boating escapade? The on-site restaurant serves refreshments to keep you fueled. Additionally, the boathouse embraces digital payments for a hassle-free experience. With fares starting from Rs. 150 for a kid's pedal boat ride, the Muttukadu Boat House caters to all budgets.",What are the fares at muttukadu boathouse?,fares starting from Rs. 150,"(387, 414)"
q108,"Fort St. George is the name of the first British fortress in India, founded in 1639 at the coastal city of Madras. The fort is a stronghold with 6-meter-high (20 ft) walls that withstood a number of assaults in the 18th century. The fort currently houses the Tamil Nadu legislative assembly and other official buildings. The Fort Museum contains many relics of the British Raj, including portraits of the Governors. Other monuments present inside the fort are St. Mary's Church, and Wellesley House.",What is the significance of fort st george?,first British fortress in India,"(35, 66)"
q109,"Fort St. George is the name of the first British fortress in India, founded in 1639 at the coastal city of Madras. The fort is a stronghold with 6-meter-high (20 ft) walls that withstood a number of assaults in the 18th century. The fort currently houses the Tamil Nadu legislative assembly and other official buildings. The Fort Museum contains many relics of the British Raj, including portraits of the Governors. Other monuments present inside the fort are St. Mary's Church, and Wellesley House.",When was fort st george built?,1639,"(79, 83)"
q110,"Fort St. George is the name of the first British fortress in India, founded in 1639 at the coastal city of Madras. The fort is a stronghold with 6-meter-high (20 ft) walls that withstood a number of assaults in the 18th century. The fort currently houses the Tamil Nadu legislative assembly and other official buildings. The Fort Museum contains many relics of the British Raj, including portraits of the Governors. Other monuments present inside the fort are St. Mary's Church, and Wellesley House.",What is fort st george used for now?,Tamil Nadu legislative assembly,"(259, 290)"
q111,"Fort St. George is the name of the first British fortress in India, founded in 1639 at the coastal city of Madras. The fort is a stronghold with 6-meter-high (20 ft) walls that withstood a number of assaults in the 18th century. The fort currently houses the Tamil Nadu legislative assembly and other official buildings. The Fort Museum contains many relics of the British Raj, including portraits of the Governors. Other monuments present inside the fort are St. Mary's Church, and Wellesley House.",What does the fort museum have?,relics of the British Raj,"(351, 376)"
q112,"Fort St.+B120 George is the name of the first British fortress in India, founded in 1639 at the coastal city of Madras. The fort is a stronghold with 6-meter-high (20 ft) walls that withstood a number of assaults in the 18th century. The fort currently houses the Tamil Nadu legislative assembly and other official buildings. The Fort Museum contains many relics of the British Raj, including portraits of the Governors. Other monuments present inside the fort are St. Mary's Church, and Wellesley House.",what kind of relics does the fort museum have?,portraits of the Governors,"(388, 414)"
q113,"Fort St. George is the name of the first British fortress in India, founded in 1639 at the coastal city of Madras. The fort is a stronghold with 6-meter-high (20 ft) walls that withstood a number of assaults in the 18th century. The fort currently houses the Tamil Nadu legislative assembly and other official buildings. The Fort Museum contains many relics of the British Raj, including portraits of the Governors. Other monuments present inside the fort are St. Mary's Church, and Wellesley House.",Name other monuments present inside fort st george?,"St. Mary's Church, and Wellesley House.","(460, 499)"
q114,"St Mary’s Church in Fort St George is not only the earliest Anglican church in India but claims to be the first east of Suez, built in 1680. Inside the church is a plethora of memorials to officers and civilians of the East India Company who died far from home, sometimes in battle but more often from the combination of tropical heat and disease. Attractions near St. Mary’s Church: Madras High Court, Armenian Church.The church is open to visitors daily, but if you want to visit on Sunday then it’s best to call ahead of time.",Which is the te oldest Anglican church in India?,St Mary’s Church,"(0, 16)"
q115,"St Mary’s Church in Fort St George is not only the earliest Anglican church in India but claims to be the first east of Suez, built in 1680. Inside the church is a plethora of memorials to officers and civilians of the East India Company who died far from home, sometimes in battle but more often from the combination of tropical heat and disease. Attractions near St. Mary’s Church: Madras High Court, Armenian Church.The church is open to visitors daily, but if you want to visit on Sunday then it’s best to call ahead of time.",What is present inside the St Mary's church?,plethora of memorials,"(164, 185)"
q117,"St Mary’s Church in Fort St George is not only the earliest Anglican church in India but claims to be the first east of Suez, built in 1680. Inside the church is a plethora of memorials to officers and civilians of the East India Company who died far from home, sometimes in battle but more often from the combination of tropical heat and disease. Attractions near St. Mary’s Church: Madras High Court, Armenian Church.The church is open to visitors daily, but if you want to visit on Sunday then it’s best to call ahead of time.",Is St. Mary's church open daily?,open to visitors daily,"(433, 455)"
q119,"Fort Saint George, located in the bustling city of Chennai, North of Marina Beach, is a historical monument known for its rich history. Fort Saint George is known for its grandeur and the pivotal role it played in setting up the British Empire in India.Timings: 9:00 AM to 5:00 PM every day except Fridays Entry Fee: INR 15 for Indians and INR 200 foreigners.Requires Approximately 2-3 hours to explore the fort and its museum. Restricted Items: Large bags and food items are not allowed inside the fort.",Where is Fort St george located?,North of Marina Beach,"(60, 81)"
q120,"Fort Saint George, located in the bustling city of Chennai, North of Marina Beach, is a historical monument known for its rich history. Fort Saint George is known for its grandeur and the pivotal role it played in setting up the British Empire in India.Timings: 9:00 AM to 5:00 PM every day except Fridays Entry Fee: INR 15 for Indians and INR 200 foreigners.Requires Approximately 2-3 hours to explore the fort and its museum. Restricted Items: Large bags and food items are not allowed inside the fort.",What are the timings at Fort st george?,9:00 AM to 5:00 PM every day except Fridays,"(262, 305)"
q121,"Fort Saint George, located in the bustling city of Chennai, North of Marina Beach, is a historical monument known for its rich history. Fort Saint George is known for its grandeur and the pivotal role it played in setting up the British Empire in India.Timings: 9:00 AM to 5:00 PM every day except Fridays Entry Fee: INR 15 for Indians and INR 200 foreigners.Requires Approximately 2-3 hours to explore the fort and its museum. Restricted Items: Large bags and food items are not allowed inside the fort.",Tell me about the entry fees for Fort St. George?,INR 15 for Indians and INR 200 foreigners,"(317, 358)"
q122,"Fort Saint George, located in the bustling city of Chennai, North of Marina Beach, is a historical monument known for its rich history. Fort Saint George is known for its grandeur and the pivotal role it played in setting up the British Empire in India.Timings: 9:00 AM to 5:00 PM every day except Fridays Entry Fee: INR 15 for Indians and INR 200 foreigners.Requires Approximately 2-3 hours to explore the fort and its museum. Restricted Items: Large bags and food items are not allowed inside the fort.",How long does it take to explore fort st george?,Approximately 2-3 hours,"(368, 391)"
q123,"Fort Saint George, located in the bustling city of Chennai, North of Marina Beach, is a historical monument known for its rich history. Fort Saint George is known for its grandeur and the pivotal role it played in setting up the British Empire in India.Timings: 9:00 AM to 5:00 PM every day except Fridays Entry Fee: INR 15 for Indians and INR 200 foreigners.Requires Approximately 2-3 hours to explore the fort and its museum. Restricted Items: Large bags and food items are not allowed inside the fort.",What items are restricted inside fort st george?,Large bags and food items,"(446, 471)"
q124,"The Government Museum, also known as the Madras Museum, is located in Chennai, Tamil Nadu, India. Established in 1851, it ranks as the second oldest museum in the country. Situated in the Egmore neighborhood, it houses a vast array of exhibits spanning human history and culture. The museum is particularly renowned for its archaeological and numismatic collections, boasting the largest collection of Roman antiquities outside of Europe. Among its treasures are over 500 bronze idols dating back to 1000 BCE.",What is the government museum also known as?,Madras Museum,"(41, 54)"
q125,"The Government Museum, also known as the Madras Museum, is located in Chennai, Tamil Nadu, India. Established in 1851, it ranks as the second oldest museum in the country. Situated in the Egmore neighborhood, it houses a vast array of exhibits spanning human history and culture. The museum is particularly renowned for its archaeological and numismatic collections, boasting the largest collection of Roman antiquities outside of Europe. Among its treasures are over 500 bronze idols dating back to 1000 BCE.",Where is the Government museum in chennai?,Egmore neighborhood,"(188, 207)"
q126,"The Government Museum, also known as the Madras Museum, is located in Chennai, Tamil Nadu, India. Established in 1851, it ranks as the second oldest museum in the country. Situated in the Egmore neighborhood, it houses a vast array of exhibits spanning human history and culture. The museum is particularly renowned for its archaeological and numismatic collections, boasting the largest collection of Roman antiquities outside of Europe. Among its treasures are over 500 bronze idols dating back to 1000 BCE.",When was the government museum in chennai established?,1851,"(113, 117)"
q128,"The Government Museum, also known as the Madras Museum, is located in Chennai, Tamil Nadu, India. Established in 1851, it ranks as the second oldest museum in the country. Situated in the Egmore neighborhood, it houses a vast array of exhibits spanning human history and culture. The museum is particularly renowned for its archaeological and numismatic collections, boasting the largest collection of Roman antiquities outside of Europe. Among its treasures are over 500 bronze idols dating back to 1000 BCE.",What is the Government museum in chennai known for?,archaeological and numismatic collections,"(324, 365)"
q129,"The Government Museum, also known as the Madras Museum, is located in Chennai, Tamil Nadu, India. Established in 1851, it ranks as the second oldest museum in the country. Situated in the Egmore neighborhood, it houses a vast array of exhibits spanning human history and culture. The museum is particularly renowned for its archaeological and numismatic collections, boasting the largest collection of Roman antiquities outside of Europe. Among its treasures are over 500 bronze idols dating back to 1000 BCE.",Name a treasure found in the government museum chennai?,500 bronze idols dating back to 1000 BCE,"(168, 508)"
q130,"The Government Museum timings are 9.30 AM to 5 PM. It is open except for Fridays and National holidays.Government Museum Chennai entry fee for Indians is ₹15 per adult and ₹10 per kid (below 12 years). For school kids and teachers (in a group), the entry fee is ₹5 per person. The ticket prices for foreigners are ₹250 (adults), ₹125 (kids).",What are the timings at Government museum chennai?,9.30 AM to 5 PM,"(34, 49)"
q132,"The Government Museum timings are 9.30 AM to 5 PM. It is open except for Fridays and National holidays.Government Museum Chennai entry fee for Indians is ₹15 per adult and ₹10 per kid (below 12 years). For school kids and teachers (in a group), the entry fee is ₹5 per person. The ticket prices for foreigners are ₹250 (adults), ₹125 (kids).",What is the entry fee for Indians at government museum chennai?,₹15 per adult and ₹10 per kid,"(154, 183)"
q133,"The Government Museum timings are 9.30 AM to 5 PM. It is open except for Fridays and National holidays.Government Museum Chennai entry fee for Indians is ₹15 per adult and ₹10 per kid (below 12 years). For school kids and teachers (in a group), the entry fee is ₹5 per person. The ticket prices for foreigners are ₹250 (adults), ₹125 (kids).",What is the entry ticker price for foreigners?,"₹250 (adults), ₹125 (kids)","(314, 340)"
q134,"DakshinaChitra is an exciting cross cultural living museum of art, architecture, lifestyles, crafts and performing arts. The main mission is to promote and preserve aspects of cultures of the states. DakshinaChitra Heritage Museum was opened to the public on December 14th 1996. The Museum is located at Muttukadu, twenty five kilometers south of Central Chennai. DakshinaChitra has a collection of 18 authentic historical houses with contextual exhibitions in each house.",What is the DakshinaChitra museum?,cross cultural living museum,"(30, 58)"
q135,"DakshinaChitra is an exciting cross cultural living museum of art, architecture, lifestyles, crafts and performing arts. The main mission is to promote and preserve aspects of cultures of the states. DakshinaChitra Heritage Museum was opened to the public on December 14th 1996. The Museum is located at Muttukadu, twenty five kilometers south of Central Chennai. DakshinaChitra has a collection of 18 authentic historical houses with contextual exhibitions in each house.",What can you experience at Dakshinachitra museum?,"art, architecture, lifestyles, crafts and performing arts","(62, 119)"
q136,"DakshinaChitra is an exciting cross cultural living museum of art, architecture, lifestyles, crafts and performing arts. The main mission is to promote and preserve aspects of cultures of the states. DakshinaChitra Heritage Museum was opened to the public on December 14th 1996. The Museum is located at Muttukadu, twenty five kilometers south of Central Chennai. DakshinaChitra has a collection of 18 authentic historical houses with contextual exhibitions in each house.",What is the mission of DakshinaChitra museum?,promote and preserve aspects of cultures of the states,"(144, 198)"
q137,"DakshinaChitra is an exciting cross cultural living museum of art, architecture, lifestyles, crafts and performing arts. The main mission is to promote and preserve aspects of cultures of the states. DakshinaChitra Heritage Museum was opened to the public on December 14th 1996. The Museum is located at Muttukadu, twenty five kilometers south of Central Chennai. DakshinaChitra has a collection of 18 authentic historical houses with contextual exhibitions in each house.",When was Dakshinchitra museum opened?,December 14th 1996,"(259, 277)"
q138,"DakshinaChitra is an exciting cross cultural living museum of art, architecture, lifestyles, crafts and performing arts. The main mission is to promote and preserve aspects of cultures of the states. DakshinaChitra Heritage Museum was opened to the public on December 14th 1996. The Museum is located at Muttukadu, twenty five kilometers south of Central Chennai. DakshinaChitra has a collection of 18 authentic historical houses with contextual exhibitions in each house.",Where is Dakshinachitra museum located?,Muttukadu,"(304, 313)"
q140,"DakshinaChitra is an exciting cross cultural living museum of art, architecture, lifestyles, crafts and performing arts. The main mission is to promote and preserve aspects of cultures of the states. DakshinaChitra Heritage Museum was opened to the public on December 14th 1996. The Museum is located at Muttukadu, twenty five kilometers south of Central Chennai. DakshinaChitra has a collection of 18 authentic historical houses with contextual exhibitions in each house.",What does the dakshinachitra museum have?,collection of 18 authentic historical houses with contextual exhibitions,"(385, 457)"
q141,"Try your hand at simple art and craft activities and traditional games at DakshinaChitra! Enjoy playing an array of board games, spin tops, break pots and even shake a leg. Weekend activities include: Traditional leather puppet show, Glass blowing demo,Traditional soothsayers (fortune – tellers). Timings: 10am to 6 pm. Weekly holiday: Tuesday.Note: Eatables not permitted.",What activities can you usually try at dakshinachitra?,art and craft activities and traditional games,"(24, 70)"
q142,"Try your hand at simple art and craft activities and traditional games at DakshinaChitra! Enjoy playing an array of board games, spin tops, break pots and even shake a leg. Weekend activities include: Traditional leather puppet show, Glass blowing demo,Traditional soothsayers (fortune – tellers). Timings: 10am to 6 pm. Weekly holiday: Tuesday.Note: Eatables not permitted.",name some weekend activities at dakshinachitra?,"Traditional leather puppet show, Glass blowing demo,Traditional soothsayers","(201, 276)"
q143,"Try your hand at simple art and craft activities and traditional games at DakshinaChitra! Enjoy playing an array of board games, spin tops, break pots and even shake a leg. Weekend activities include: Traditional leather puppet show, Glass blowing demo,Traditional soothsayers (fortune – tellers). Timings: 10am to 6 pm. Weekly holiday: Tuesday.Note: Eatables not permitted.",What are the timings at dakshinachitra heritage museum?,10am to 6 pm,"(307, 319)"
q144,"Try your hand at simple art and craft activities and traditional games at DakshinaChitra! Enjoy playing an array of board games, spin tops, break pots and even shake a leg. Weekend activities include: Traditional leather puppet show, Glass blowing demo,Traditional soothsayers (fortune – tellers). Timings: 10am to 6 pm. Weekly holiday: Tuesday.Note: Eatables not permitted.",Is dakshinachitra open on all days?,Weekly holiday: Tuesday,"(321, 344)"
q145,"Try your hand at simple art and craft activities and traditional games at DakshinaChitra! Enjoy playing an array of board games, spin tops, break pots and even shake a leg. Weekend activities include: Traditional leather puppet show, Glass blowing demo,Traditional soothsayers (fortune – tellers). Timings: 10am to 6 pm. Weekly holiday: Tuesday.Note: Eatables not permitted.",Tips while visiting dakshinachitra museum?,Note: Eatables not permitted.,"(345, 374)"
q146,"The Regional Rail Museums of India hold the same importance as the National Rail Museum, with the fascinating history of Indian Railways on display. The Chennai Rail Museum has five indoor galleries and a large outdoor exhibits park. The museum opened on 16 April 2002 in the Furnishing Division of the Integral Coach Factory.The 6.25-acre (2.53 ha) museum has technical and heritage exhibits, with a sizable collection of steam engines from the British Raj.",What does the chennaii rail museum display?,fascinating history of Indian Railways,"(98, 136)"
q147,"The Regional Rail Museums of India hold the same importance as the National Rail Museum, with the fascinating history of Indian Railways on display. The Chennai Rail Museum has five indoor galleries and a large outdoor exhibits park. The museum opened on 16 April 2002 in the Furnishing Division of the Integral Coach Factory.The 6.25-acre (2.53 ha) museum has technical and heritage exhibits, with a sizable collection of steam engines from the British Raj.",How many galleries does chennai rail museum have?,five indoor galleries,"(177, 198)"
q148,"The Regional Rail Museums of India hold the same importance as the National Rail Museum, with the fascinating history of Indian Railways on display. The Chennai Rail Museum has five indoor galleries and a large outdoor exhibits park. The museum opened on 16 April 2002 in the Furnishing Division of the Integral Coach Factory.The 6.25-acre (2.53 ha) museum has technical and heritage exhibits, with a sizable collection of steam engines from the British Raj.",When was the museum established?,2002,"(264, 268)"
